,id,time,variable,value
4544,AS14.28,2014-03-31 18:00:00.000,mood,7
4545,AS14.28,2014-03-31 21:00:00.000,mood,6
4546,AS14.28,2014-04-01 12:00:00.000,mood,8
4547,AS14.28,2014-04-01 15:00:00.000,mood,8
4548,AS14.28,2014-04-01 18:00:00.000,mood,7
4549,AS14.28,2014-04-01 21:00:00.000,mood,7
4550,AS14.28,2014-04-02 10:00:00.000,mood,6
4551,AS14.28,2014-04-02 12:00:00.000,mood,5
4552,AS14.28,2014-04-02 15:00:00.000,mood,9
4553,AS14.28,2014-04-02 17:00:00.000,mood,6
4554,AS14.28,2014-04-02 21:00:00.000,mood,8
4555,AS14.28,2014-04-03 08:00:00.000,mood,8
4556,AS14.28,2014-04-03 12:00:00.000,mood,10
4557,AS14.28,2014-04-03 15:00:00.000,mood,9
4558,AS14.28,2014-04-03 17:00:00.000,mood,6
4559,AS14.28,2014-04-03 21:00:00.000,mood,7
4560,AS14.28,2014-04-04 10:00:00.000,mood,3
4561,AS14.28,2014-04-04 11:00:00.000,mood,6
4562,AS14.28,2014-04-04 15:00:00.000,mood,6
4563,AS14.28,2014-04-04 21:00:00.000,mood,8
4564,AS14.28,2014-04-05 09:00:00.000,mood,7
4565,AS14.28,2014-04-05 12:00:00.000,mood,7
4566,AS14.28,2014-04-05 15:00:00.000,mood,8
4567,AS14.28,2014-04-05 17:00:00.000,mood,8
4568,AS14.28,2014-04-05 21:00:00.000,mood,8
4569,AS14.28,2014-04-06 09:00:00.000,mood,7
4570,AS14.28,2014-04-06 11:00:00.000,mood,6
4571,AS14.28,2014-04-06 14:00:00.000,mood,8
4572,AS14.28,2014-04-06 18:00:00.000,mood,7
4573,AS14.28,2014-04-06 21:00:00.000,mood,8
4574,AS14.28,2014-04-07 09:00:00.000,mood,9
4575,AS14.28,2014-04-07 12:00:00.000,mood,8
4576,AS14.28,2014-04-07 15:00:00.000,mood,7
4577,AS14.28,2014-04-07 17:00:00.000,mood,8
4578,AS14.28,2014-04-07 21:00:00.000,mood,8
4579,AS14.28,2014-04-08 08:00:00.000,mood,8
4580,AS14.28,2014-04-08 11:00:00.000,mood,7
4581,AS14.28,2014-04-08 15:00:00.000,mood,7
4582,AS14.28,2014-04-08 17:00:00.000,mood,8
4583,AS14.28,2014-04-08 21:00:00.000,mood,9
4584,AS14.28,2014-04-09 20:00:00.000,mood,7
4585,AS14.28,2014-04-09 21:00:00.000,mood,7
4586,AS14.28,2014-04-10 09:00:00.000,mood,6
4587,AS14.28,2014-04-10 14:00:00.000,mood,6
4588,AS14.28,2014-04-10 19:00:00.000,mood,9
4589,AS14.28,2014-04-10 21:00:00.000,mood,7
4590,AS14.28,2014-04-11 11:00:00.000,mood,6
4591,AS14.28,2014-04-11 12:00:00.000,mood,7
4592,AS14.28,2014-04-11 15:00:00.000,mood,7
4593,AS14.28,2014-04-11 19:00:00.000,mood,9
4594,AS14.28,2014-04-11 21:00:00.000,mood,8
4595,AS14.28,2014-04-12 09:00:00.000,mood,7
