time,variable,value
2014-04-16 15:00:00.000,mood,7
2014-04-16 18:00:00.000,mood,6
2014-04-16 21:00:00.000,mood,8
2014-04-17 09:00:00.000,mood,8
2014-04-17 12:00:00.000,mood,6
2014-04-17 15:00:00.000,mood,7
2014-04-17 18:00:00.000,mood,7
2014-04-17 21:00:00.000,mood,8
2014-04-18 09:00:00.000,mood,7
2014-04-18 12:00:00.000,mood,6
2014-04-18 15:00:00.000,mood,7
2014-04-18 18:00:00.000,mood,8
2014-04-18 20:00:00.000,mood,9
2014-04-19 15:00:00.000,mood,9
2014-04-19 19:00:00.000,mood,7
2014-04-19 20:00:00.000,mood,7
2014-04-20 09:00:00.000,mood,7
2014-04-20 12:00:00.000,mood,8
2014-04-20 15:00:00.000,mood,7
2014-04-20 18:00:00.000,mood,8
2014-04-20 21:00:00.000,mood,7
2014-04-21 11:00:00.000,mood,6
2014-04-21 12:00:00.000,mood,8
2014-04-21 15:00:00.000,mood,7
2014-04-21 18:00:00.000,mood,7
2014-04-21 21:00:00.000,mood,8
2014-04-22 09:00:00.000,mood,7
2014-04-22 12:00:00.000,mood,5
2014-04-22 15:00:00.000,mood,9
2014-04-22 18:00:00.000,mood,5
2014-04-22 21:00:00.000,mood,5
2014-04-23 10:00:00.000,mood,5
2014-04-23 12:00:00.000,mood,6
2014-04-23 15:00:00.000,mood,6
2014-04-23 18:00:00.000,mood,4
2014-04-23 22:00:00.000,mood,5
2014-04-24 09:00:00.000,mood,6
2014-04-24 12:00:00.000,mood,8
2014-04-24 15:00:00.000,mood,6
2014-04-24 23:00:00.000,mood,8
2014-04-25 09:00:00.000,mood,7
2014-04-25 12:00:00.000,mood,10
2014-04-25 15:00:00.000,mood,7
2014-04-25 18:00:00.000,mood,8
2014-04-25 21:00:00.000,mood,10
2014-04-26 09:00:00.000,mood,3
2014-04-26 12:00:00.000,mood,8
2014-04-26 15:00:00.000,mood,10
2014-04-26 19:00:00.000,mood,10
2014-04-26 21:00:00.000,mood,7
2014-04-27 10:00:00.000,mood,5
2014-04-27 13:00:00.000,mood,6
2014-04-27 15:00:00.000,mood,7
2014-04-27 18:00:00.000,mood,6
2014-04-27 21:00:00.000,mood,7
2014-04-28 09:00:00.000,mood,7
2014-04-28 12:00:00.000,mood,8
2014-04-28 18:00:00.000,mood,6
2014-04-28 21:00:00.000,mood,6
2014-04-29 09:00:00.000,mood,6
2014-04-29 13:00:00.000,mood,7
2014-04-29 15:00:00.000,mood,5
2014-04-29 18:00:00.000,mood,6
2014-04-29 21:00:00.000,mood,7
2014-04-30 10:00:00.000,mood,2
2014-04-30 12:00:00.000,mood,8
2014-04-30 15:00:00.000,mood,7
2014-04-30 19:00:00.000,mood,8
2014-04-30 21:00:00.000,mood,7
2014-05-01 09:00:00.000,mood,6
2014-05-01 13:00:00.000,mood,7
2014-05-01 15:00:00.000,mood,6
2014-05-01 19:00:00.000,mood,8
2014-05-01 21:00:00.000,mood,8
2014-05-04 04:00:00.000,mood,10
2014-05-04 19:00:00.000,mood,7
2014-05-04 21:00:00.000,mood,8
2014-05-05 10:00:00.000,mood,8
2014-05-05 14:00:00.000,mood,6
2014-05-05 14:00:00.000,mood,8
2014-05-05 18:00:00.000,mood,7
2014-05-07 09:00:00.000,mood,7
2014-05-07 12:00:00.000,mood,6
2014-05-07 15:00:00.000,mood,3
2014-05-07 19:00:00.000,mood,4
2014-05-08 00:00:00.000,mood,6
2014-05-08 09:00:00.000,mood,7
2014-05-08 15:00:00.000,mood,8
2014-05-08 20:00:00.000,mood,7
2014-05-08 21:00:00.000,mood,5
2014-05-09 10:00:00.000,mood,2
2014-05-09 12:00:00.000,mood,4
2014-05-09 14:00:00.000,mood,5
2014-05-09 18:00:00.000,mood,6
2014-05-09 21:00:00.000,mood,7
2014-05-10 09:00:00.000,mood,6
2014-05-10 12:00:00.000,mood,9
2014-05-10 15:00:00.000,mood,10
2014-05-10 18:00:00.000,mood,6
2014-05-10 21:00:00.000,mood,7
2014-05-11 09:00:00.000,mood,6
2014-05-11 12:00:00.000,mood,8
2014-05-11 15:00:00.000,mood,6
2014-05-11 18:00:00.000,mood,6
2014-05-11 21:00:00.000,mood,4
2014-05-12 10:00:00.000,mood,5
2014-05-12 15:00:00.000,mood,7
2014-05-12 17:00:00.000,mood,6
2014-05-12 23:00:00.000,mood,6
2014-05-13 12:00:00.000,mood,3
2014-05-13 15:00:00.000,mood,7
2014-05-14 01:00:00.000,mood,8
2014-05-14 09:00:00.000,mood,6
2014-05-14 13:00:00.000,mood,7
2014-05-14 17:00:00.000,mood,6
2014-05-14 18:00:00.000,mood,6
2014-05-14 21:00:00.000,mood,8
2014-05-15 09:00:00.000,mood,6
2014-05-15 14:00:00.000,mood,6
2014-05-15 22:00:00.000,mood,6
2014-05-16 10:00:00.000,mood,7
2014-05-16 12:00:00.000,mood,7
2014-05-16 15:00:00.000,mood,8
2014-05-16 20:00:00.000,mood,6
2014-05-16 21:00:00.000,mood,7
2014-05-17 09:00:00.000,mood,6
2014-05-17 12:00:00.000,mood,5
2014-05-17 17:00:00.000,mood,8
2014-05-17 21:00:00.000,mood,5
2014-05-18 08:00:00.000,mood,5
