time,"mood","circumplex.arousal","circumplex.valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","day_0","day_1","day_2","day_3","day_4","day_5","day_6"
2014-02-26,6.25,-0.25,0.75,0.0459856891337655,52326.449998140306,3,6,1243.095,18672.693,6559.446,516.618,222.00900000000001,6321.438,3399.027,135.519,100.095,0,0,1,0,0,0,0
2014-03-20,8.0,-0.4,1.0,0.08154761904761901,6827.832000732421,3,6,746.937,6504.687,1052.568,277.164,34.035,2423.1929999999998,153.55200000000002,135.519,63.222,0,0,0,1,0,0,0
2014-03-21,6.2,0.2,0.2,0.134050103989389,53936.7210001945,18,3,9417.65400000001,18842.67,3022.368,516.618,719.253,13525.5,2746.335,87.87,1796.2620000000002,0,0,0,0,1,0,0
2014-03-22,6.4,0.6,0.5,0.236880219239958,18426.4829986095,9,3,2194.2870000000003,14888.753999999999,279.972,271.443,294.42900000000003,1318.896,111.915,87.87,352.86300000000006,0,0,0,0,0,1,0
2014-03-23,6.8,0.2,0.8,0.142741115805064,20321.496004343,6,3,3858.738,15711.957,283.038,516.618,218.46900000000002,2702.5170000000003,563.835,199.43099999999998,90.258,0,0,0,0,0,0,1
2014-03-24,6.0,0.8,0.5,0.07896105611559799,45142.0530016422,30,3,2600.868,27811.887000000002,2930.913,9.03,199.674,9670.878,1259.415,705.669,536.196,1,0,0,0,0,0,0
2014-03-25,6.75,0.5,0.5,0.0983741123905068,64426.064997196205,6,3,3098.304,30830.252999999997,204.618,51.321000000000005,536.457,5758.4130000000005,550.143,705.669,668.679,0,1,0,0,0,0,0
2014-03-26,6.6,-0.2,0.6,0.10130832167007599,49271.40300107,3,3,3502.491,26966.259,2731.437,9.03,292.494,13776.177,111.915,135.519,100.095,0,0,1,0,0,0,0
2014-03-27,7.0,0.2,0.8,0.15951064096909698,52326.449998140306,6,3,3687.9809999999998,20809.536,1918.017,547.3530000000001,175.59599999999998,2806.143,141.942,705.669,537.087,0,0,0,1,0,0,0
2014-03-28,6.4,-0.6,0.6,0.0956980216371201,14770.4669988155,15,12,30187.785000000098,2600.499,3016.2090000000003,69.585,677.8530000000001,1538.223,3399.027,87.87,905.1510000000001,0,0,0,0,1,0,0
2014-03-29,8.0,0.2,1.0,0.0682028101018696,24967.8659992218,12,3,5857.89,8162.07599999999,4882.287,277.164,508.782,1418.664,157.305,199.43099999999998,1801.911,0,0,0,0,0,1,0
2014-03-30,7.5,-0.5,0.75,0.049092970521542004,13569.642002821001,3,3,1243.095,3895.515,4607.031,516.618,222.00900000000001,503.055,563.835,199.43099999999998,114.88799999999999,0,0,0,0,0,0,1
2014-03-31,7.4,-0.75,0.6,0.0705054808833896,35510.5020010471,18,3,8884.214999999991,15997.911,5276.76,51.321000000000005,805.6619999999999,4051.965,550.143,87.87,630.915,1,0,0,0,0,0,0
2014-04-01,6.0,0.2,0.5,0.118443242712736,51521.718006134004,3,6,4156.5509999999995,18286.578,3091.9109999999996,277.164,363.57,15120.201000000001,4843.863,135.519,1552.908,0,1,0,0,0,0,0
2014-04-02,6.5,0.33333333333333304,0.666666666666667,0.101916610638223,64075.532999754,12,3,10843.046999999999,20760.468,4030.1279999999997,271.443,1624.6229999999998,10286.376,550.143,90.306,1024.113,0,0,1,0,0,0,0
2014-04-03,6.4,-1.2,0.33333333333333304,0.0492384727084411,64205.50500226019,12,3,6964.392,43314.2460000001,3880.893,84.294,641.706,9462.723,57.246,135.519,548.316,0,0,0,1,0,0,0
2014-04-04,6.2,0.2,0.4,0.126689311207326,37138.2330000401,6,3,5873.486999999999,16444.884,4635.681,516.618,530.403,6258.591000000009,474.723,87.87,386.07599999999996,0,0,0,0,1,0,0
2014-04-05,6.8,-0.4,0.6,0.11900230220344599,10021.292999982801,12,3,45477.57,5656.22700000001,229.107,84.294,243.399,1089.624,563.835,90.306,356.86800000000005,0,0,0,0,0,1,0
2014-04-06,6.5,-0.75,0.5,0.0644077994424681,22401.9659993648,12,3,13645.986,10067.229,561.6419999999999,9.03,357.36,964.38,563.835,705.669,138.747,0,0,0,0,0,0,1
2014-04-07,6.5,-0.666666666666667,0.25,0.0506706211743179,29539.1429994106,3,3,2782.131,22065.045,1341.3629999999998,51.321000000000005,511.04400000000004,4426.254,180.74099999999999,705.669,617.433,1,0,0,0,0,0,0
2014-04-08,6.6,-0.4,0.33333333333333304,0.0753270582613485,45303.3960056305,3,3,2678.06700000001,28432.659,10399.437,84.294,628.5419999999999,7965.363,818.3939999999999,199.43099999999998,108.429,0,1,0,0,0,0,0
2014-04-09,7.4,-0.8,1.0,0.12038411453232901,40674.867002964,12,3,4915.851,18531.228,2822.31,271.443,1039.962,8479.05,550.143,87.87,1732.0770000000002,0,0,1,0,0,0,0
2014-04-10,7.4,-0.4,0.8,0.0789631051948911,27888.2969977856,21,12,2146.065,14644.233,5576.679,69.585,323.757,3524.151,1412.319,199.43099999999998,1133.0610000000001,0,0,0,1,0,0,0
2014-04-11,7.0,-1.2,0.8,0.0799862020730605,31580.5380005837,12,3,10107.093,10009.776,5928.414000000001,84.294,154.356,1790.421,102.70200000000001,705.669,643.944,0,0,0,0,1,0,0
2014-04-12,7.25,-0.75,0.75,0.0722490614703182,35252.4270029068,6,6,907.3380000000001,19785.249,6559.446,271.443,237.09900000000002,793.296,15.093,9.443999999999999,1057.1760000000002,0,0,0,0,0,1,0
2014-04-13,8.0,-1.25,1.0,0.0140213289543707,6017.2529976368005,3,3,1342.245,3290.385,748.176,84.294,282.627,103.506,1259.415,705.669,336.885,0,0,0,0,0,0,1
2014-04-14,7.2,-1.2,0.6,0.0838873144698841,53956.343997716904,3,3,2884.743,19458.852,18796.668,84.294,435.288,8765.955,87.31200000000001,90.306,2958.042,1,0,0,0,0,0,0
2014-04-15,6.4,-0.4,0.8,0.0901121527807253,40755.668995142005,24,3,4789.068,18672.693,2833.566,277.164,331.245,13284.63,25.089000000000002,87.87,839.3789999999999,0,1,0,0,0,0,0
2014-04-16,7.2,0.75,0.5,0.11611033612712199,37567.424996852904,3,3,2770.8389999999895,15525.048,1280.202,271.443,122.352,5738.556,25.089000000000002,199.43099999999998,670.7610000000001,0,0,1,0,0,0,0
2014-04-17,6.6,-0.4,0.6,0.0569178566720968,45055.440002202995,6,3,1656.6029999999998,35560.017,426.723,51.321000000000005,161.289,6321.438,430.89300000000003,87.87,149.154,0,0,0,1,0,0,0
2014-04-18,6.8,-0.8,0.8,0.0940330066949761,40472.1869988441,3,3,5582.694,16024.971000000001,2323.062,547.3530000000001,143.36700000000002,5981.766,191.622,199.43099999999998,266.04,0,0,0,0,1,0,0
2014-04-19,7.8,-0.2,1.0,0.0994319117238402,39879.7440018654,3,3,2838.57,8184.78,1407.8220000000001,547.3530000000001,94.446,1190.016,386.67,705.669,917.388,0,0,0,0,0,1,0
2014-04-20,7.25,-0.25,0.75,0.0748162430431159,25030.5540010929,6,6,2691.258,14954.171999999999,2182.476,84.294,102.60600000000001,6713.226,1412.319,199.43099999999998,363.105,0,0,0,0,0,0,1
2014-04-21,7.6,-0.25,1.0,0.10204105896824699,11498.9729976654,6,3,10326.696,6013.041,224.64,51.321000000000005,174.14700000000002,1286.9160000000002,204.834,90.306,632.646,1,0,0,0,0,0,0
2014-04-22,7.4,0.2,1.0,0.0919295518222921,46470.809997797005,6,3,6638.86200000001,34082.7389999999,3303.051,271.443,189.48,4267.644,189.94799999999998,705.669,1269.645,0,1,0,0,0,0,0
2014-04-23,7.6,0.2,1.0,0.0459856891337655,43606.019998312004,3,3,3392.526,26785.416,1042.281,84.294,127.194,1579.7939999999999,25.089000000000002,87.87,740.832,0,0,1,0,0,0,0
2014-04-24,7.6,-0.4,1.0,0.0509029881940343,66259.4340004921,3,12,4398.813,29076.398999999998,13394.925,9.03,95.79899999999999,8065.60799999999,153.55200000000002,135.519,2148.591,0,0,0,1,0,0,0
2014-04-25,7.2,-0.2,0.8,0.10906106363682701,41921.8259990215,6,3,2452.839,21837.432,1952.496,51.321000000000005,206.541,6683.081999999999,189.94799999999998,705.669,1043.922,0,0,0,0,1,0,0
2014-04-26,7.6,-0.2,1.0,0.214248771624235,46446.05699801441,9,12,2593.5570000000002,7703.571,376.668,516.618,138.615,7105.130999999999,1412.319,9.443999999999999,947.289,0,0,0,0,0,1,0
2014-04-27,7.5,-0.8,1.0,0.0304789237989637,17101.6860001087,3,3,3873.942,7294.494000000001,4530.663,271.443,3170.052,82.41,474.723,199.43099999999998,181.014,0,0,0,0,0,0,1
2014-04-28,7.6,-0.8,0.8,0.0196753225383989,32423.4899990559,6,3,3936.0029999999997,14092.116000000002,4645.314,51.321000000000005,217.752,7271.799,102.70200000000001,135.519,1140.579,1,0,0,0,0,0,0
2014-04-29,7.0,-0.25,1.0,0.10275824852950399,23619.875997304902,6,3,15869.739,11503.935,4687.599,51.321000000000005,121.416,1234.455,125.946,199.43099999999998,1231.308,0,1,0,0,0,0,0
