,"mood", "circumplex.arousal", "circumplex.valence", "activity", "screen", "call", "sms", "appCat.builtin", "appCat.communication", "appCat.entertainment", "appCat.finance", "appCat.game", "appCat.office", "appCat.other", "appCat.social", "appCat.travel", "appCat.unknown", "appCat.utilities", "appCat.weather"
"mood", 1, 0.0314774681197776, 0.44962074006816, 0.187320965702157, 0.1495895030223, -0.0749073020184035, -0.0156096632671698, 0.038437799825862, 0.18805531011922, 0.312658287847633, 0.101430350806169, 0.356313247362329, 0.309765826940971, 0.381829329919899, -0.107396609428161, 0.0187939814335415, 0.134325985720866, 0.062404603667088, 0.184146024587162
"circumplex.arousal", 0.0314774681197776, 1, 0.178425980593392, 0.00535620723693113, -0.467031922744479, -0.141732561797616, 0.139066794729264, 0.0382661916166083, -0.466343611520142, -0.362971256016873, -0.0999548355730668, -0.073672953301229, 0.0575211687599191, -0.438671564971481, -0.218904715207467, 0.233295762589869, -0.134219635298024, 0.0400773499964161, -0.0759504129728137
"circumplex.valence", 0.44962074006816, 0.178425980593392, 1, 0.228262858735095, 0.146044282432802, -0.458928240208003, -0.254104546491483, 0.0152331414599142, 0.300728334118008, 0.281202972711082, 0.211692681379727, 0.35063677175782, 0.0859449462090759, 0.55708344652975, -0.215905141248245, 0.0326898088179099, 0.271597264662501, 0.163830918043657, -0.126946628934128
"activity", 0.187320965702157, 0.00535620723693113, 0.228262858735095, 1, 0.347727065486329, 0.0263613928771231, -0.0909609685303351, -0.0506491280962098, 0.421833399913124, 0.154382145045616, -0.18641905997708, 0.516070511064012, 0.237966901209583, 0.302773098746723, -0.0490519432459494, 0.150246305528837, 0.324060122461468, -0.0279919239532955, -0.151433793348694
"screen", 0.1495895030223, -0.467031922744479, 0.146044282432802, 0.347727065486329, 1, -0.122760094813863, -0.240240745089524, 0.23583703415945, 0.755984633784894, 0.49865075236706, 0.270379334039519, 0.479575907176257, 0.185115946979891, 0.411209806724144, 0.569335925064989, 0.151031443910746, 0.389376780613224, 0.345724456965062, 0.17869409206763
"call", -0.0749073020184035, -0.141732561797616, -0.458928240208003, 0.0263613928771231, -0.122760094813863, 1, -0.0445048511116344, 0.0584839024487215, -0.2209378901494, -0.150427904583899, -0.196464258520406, -0.230708310508178, -0.222502798730311, -0.279406860657415, 0.00944496577221288, -0.190918552143804, -0.288067317550761, -0.1540263506886, -0.0903560683971436
"sms", -0.0156096632671698, 0.139066794729264, -0.254104546491483, -0.0909609685303351, -0.240240745089524, -0.0445048511116344, 1, -0.334131931889114, -0.209202069315414, -0.329637805076524, -0.299085684062175, -0.345378480028414, 0.558903943571251, -0.133314904418059, 0.16163592974675, -0.115748893684617, -0.329968963007805, -0.282161548902485, -0.221534506140876
"appCat.builtin", 0.038437799825862, 0.0382661916166083, 0.0152331414599142, -0.0506491280962098, 0.23583703415945, 0.0584839024487215, -0.334131931889114, 1, -0.0832897040072435, -0.105708000152982, 0.387113001865689, 0.0690202442667569, -0.163622317506096, -0.00101305471681144, 0.36278442880384, 0.194769536395488, -0.120631641884276, 0.261386587942862, 0.441106557733691
"appCat.communication", 0.18805531011922, -0.466343611520142, 0.300728334118008, 0.421833399913124, 0.755984633784894, -0.2209378901494, -0.209202069315414, -0.0832897040072435, 1, 0.33987646797387, 0.123369581221709, 0.382179070940176, 0.0983843944728486, 0.63457765423102, 0.0971246754136698, 0.0982577146419805, 0.426363291146095, 0.159175806718368, -0.0317514249921497
"appCat.entertainment", 0.312658287847633, -0.362971256016873, 0.281202972711082, 0.154382145045616, 0.49865075236706, -0.150427904583899, -0.329637805076524, -0.105708000152982, 0.33987646797387, 1, 0.289041852670922, 0.437006312338782, -0.0442673390355951, 0.398603234143887, 0.0210003443258759, 0.164481997489271, 0.488873939212676, -0.0101088263076182, 0.00271550345539789
