"time","mood","circumplex.arousal","circumplex.valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather","day_0","day_1","day_2","day_3","day_4","day_5","day_6"
2014-03-21,7,-0.4,1,0.0791666666666667,9023.5019967556,9,3,87.921,3663.243,4342.368,480.573,525.057,6.339,650.724,881.157,1169.826,213.78,6.06,98.592,0,0,0,0,1,0,0
2014-03-22,7,0.25,0.666666666666667,0.0628472222222222,14118.7230019569,15,3,447.18,8061.165,13820.295,318.36,525.057,39.927,441.093,367.704,579.951,974.106,3.009,9.06,0,0,0,0,0,1,0
2014-03-23,6.75,0.75,0.25,0.0333333333333333,21480.8399991989,6,3,897.762,9563.319,107812.935,370.896,242.976,39.927,205.197,54.999,580.764,454.923,9.162,15.096,0,0,0,0,0,0,1
2014-03-24,7.25,0.5,0.5,0.0791666666666667,17789.9520020485,3,3,180.774,9455.403,3203.205,163.476,525.057,12.273,250.899,2709.465,751.647,974.106,62.001,76.386,1,0,0,0,0,0,0
2014-03-25,6.2,0.4,-0.2,0.0256944444444444,21636.5790038109,3,3,982.866,7251.705,11956.017,318.36,525.057,30.768,217.14,368.997,97.422,974.106,9.048,52.299,0,1,0,0,0,0,0
2014-03-26,7.75,0.5,0.75,0.0863155761862659,25656.0810005665,9,6,1876.311,4515.543,8271.003,184.047,525.057,3.012,140.739,956.541,1426.158,337.434,227.997,76.386,0,0,1,0,0,0,0
2014-03-27,7.8,-0.4,0.8,0.0270833333333333,12508.265996933,3,3,631.746,2371.956,7320,446.328,525.057,30.768,289.866,1504.851,3.03,337.434,6.615,43.188,0,0,0,1,0,0,0
2014-03-28,8.25,-0.25,1,0.0797784391534391,31402.4520056248,12,3,1529.913,7925.886,16895.574,168.213,242.976,18.288,737.694,881.157,2951.307,51.576,212.916,72.672,0,0,0,0,1,0,0
2014-03-29,8,-0.4,1,0.0822916666666667,22550.9309971333,15,3,1364.736,10434.669,9500.34300000002,291.846,525.057,30.768,191.667,566.541,473.106,2188.512,9.726,98.592,0,0,0,0,0,1,0
2014-03-30,7.75,-1,1,0.11195652173913,26007.8729968071,6,3,4152.039,10480.563,9532.67399999999,64.803,242.976,12.3,125.445,1475.679,183.984,213.78,12.183,152.01,0,0,0,0,0,0,1
2014-03-31,7,-0.2,0.2,0.0833333333333333,20426.7149984837,9,3,1870.125,10090.824,6231.00599999999,291.846,525.057,12.3,148.527,30.435,1729.149,232.974,12.129,271.056,1,0,0,0,0,0,0
2014-04-01,7.6,0.75,0.6,0.0798611111111111,38808.2580034733,15,3,6867.417,15778.575,12649.683,370.896,242.976,15.087,192.291,321.294,411.54,2188.512,15.213,9.06,0,1,0,0,0,0,0
2014-04-02,6.2,0.2,0.25,0.0413865546218487,10848.5549998283,6,3,3907.227,2094.279,4226.916,155.13,242.976,9.129,235.278,101.49,4526.313,232.974,177.786,98.592,0,0,1,0,0,0,0
2014-04-03,7.6,-0.333333333333333,0.6,0.180902777777778,18359.6159985065,9,6,1764.672,6019.85700000001,4588.602,291.87,242.976,12.12,272.223,628.875,4526.313,240.741,177.294,72.672,0,0,0,1,0,0,0
2014-04-04,7.25,-0.75,0.75,0.0760416666666668,20737.9379990101,9,3,828.456,9307.60199999999,8408.14199999999,143.316,525.057,12.12,183.003,498.957,825.006,459.921,9.261,43.188,0,0,0,0,1,0,0
2014-04-05,7.5,0.5,0.75,0.115625,16395.2790026665,3,3,159.153,9066.23700000001,6351.96899999999,446.328,242.976,3.036,230.091,327.6,1044.486,232.974,3.021,271.056,0,0,0,0,0,1,0
2014-04-06,6.8,-0.4,0.8,0.138888888888889,21481.9440071583,12,3,809.076,8665.716,10735.797,155.13,242.976,12.075,158.247,781.284,2951.307,12.294,66.966,72.672,0,0,0,0,0,0,1
2014-04-07,6.2,-0.5,0.25,0.0781250000000001,16061.0370054245,3,3,523.839,7906.25999999999,4972.641,229.014,242.976,9.129,191.166,903.477,1044.486,337.434,9.033,271.056,1,0,0,0,0,0,0
2014-04-08,7.2,-0.75,0.6,0.0864583333333334,12167.1810007095,3,3,657.804,5168.931,51944.943,480.573,525.057,3.096,197.982,103.113,1169.826,51.576,3.009,42.198,0,1,0,0,0,0,0
2014-04-09,6.5,0.25,0.25,0.0341269841269841,12909.303000927,9,6,1365.018,5145.405,6124.212,70.116,242.976,15.087,88.002,85.146,78.042,459.921,6.615,52.299,0,0,1,0,0,0,0
2014-04-10,6,0.75,0.25,0.0303571428571429,6475.76100468635,3,3,349.167,2480.601,2764.662,446.328,242.976,15.087,58.161,588.813,3.03,232.974,6.057,152.01,0,0,0,1,0,0,0
