time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
2014-03-20,7.0,0.3333333333333333,0.6666666666666666,,,1.0,,,,,,,,,,,,,
2014-03-21,6.4,-0.6,0.4,0.17338556642033126,10506.898999214172,9.0,,2765.003000000003,2927.505999999999,214.90900000000002,413.51199999999994,,,3858.509,1411.9190000000006,63.63800000000001,,,
2014-03-22,5.8,-0.6,,0.09600046671698094,12238.167000055313,,,5753.343999999999,4851.759,604.6679999999999,281.008,,,1110.389,1862.0810000000006,,,12.133,
2014-03-23,6.0,-0.6,0.2,0.0664366525273635,8890.100001811985,,,5172.018999999998,3209.224000000001,315.57700000000006,159.62400000000005,,,304.809,1348.6059999999995,,,,
2014-03-24,6.5,-1.0,0.25,0.08183477959828253,12546.419000387195,,,3389.1179999999986,6946.741999999999,465.08600000000007,868.4489999999997,,,439.074,950.617,210.02900000000002,,,
2014-03-25,5.75,-0.25,,0.0869440958385846,13155.095999240872,1.0,1.0,5014.600999999999,5569.083000000001,,377.51599999999996,,,1517.705,1172.6940000000004,1469.5229999999995,,,
2014-03-26,7.0,-0.2,1.0,0.13618336177266896,10784.664999961855,1.0,1.0,3035.877999999999,4654.1359999999995,517.6050000000001,6.047999999999999,,,1899.149,1055.6129999999996,104.189,,,
2014-03-27,6.6,-1.0,0.8,0.08024686578120244,12552.150002241135,1.0,,1914.5849999999991,9562.313000000002,245.311,155.584,,,98.693,1623.8840000000002,1.008,,,
2014-03-28,6.2,-0.4,0.6,0.0696839987353426,11750.760998725891,1.0,,6551.7040000000015,7143.947000000001,161.928,223.365,,,309.14599999999996,1189.358,,13.838,,
2014-03-29,8.0,-0.25,1.25,0.16564287093948113,4674.6099982261685,1.0,1.0,3150.4640000000013,1853.369,11.45,155.06099999999995,,,33.428000000000004,821.441,,,,
2014-03-30,6.5,-1.0,1.0,0.009551822310687784,2666.268000602723,1.0,,26314.186,520.2429999999998,,,,,24.285999999999998,,,,,
2014-03-31,6.75,-0.25,0.75,0.046555175742613406,3093.012999773025,4.0,2.0,3419.888,1041.851,,,,,39.336999999999996,,,,,
2014-04-01,6.2,,0.4,0.052005566719441405,430.883999824524,,,262.253,95.12,,,,,40.202,32.446,,,,
2014-04-02,7.0,-1.0,1.0,0.06348750312481978,779.8729991912842,,,1549.8489999999995,160.76300000000003,,,,,14.067,71.732,,,,
2014-04-03,7.333333333333332,-0.5,1.0,0.06938709391802697,2372.658999443057,,,1613.3329999999994,373.99800000000005,,8.059,,,67.906,46.582,,,,
2014-04-04,7.5,-1.0,1.0,0.0038194444444444404,307.54099965095514,,,239.324,36.288,,,,,31.473000000000003,,,,,
2014-04-05,7.4,-1.6,0.6,0.016678436911487744,1485.8990004062653,,,1584.1660000000006,755.5039999999999,,,,3.011,66.697,79.28,,,,
2014-04-06,7.4,-1.0,1.0,0.02901523603791795,1263.3870003223412,1.0,,1628.3429999999994,6760.954000000001,,,,,44.724,109.675,,,,
2014-04-07,7.0,-0.2,1.0,0.008827357154755956,550.3640000820161,,1.0,224.36500000000004,106.627,,,,,84.59699999999998,133.944,,,,
2014-04-08,6.8,-0.2,0.8,0.039592086834733885,452.8569993972779,1.0,,40323.877,67.482,,,,,47.408,,,,,
2014-04-09,8.0,0.3333333333333333,1.0,0.11708683473389354,1098.342000484467,,,879.3349999999997,166.57600000000005,,,,,30.412,13.054,,,,
2014-04-10,6.666666666666668,-0.3333333333333333,1.0,0.0520108043217287,846.4809994697566,,,881.543,18.882,,,,,23.165,29.299,,,,
2014-04-11,7.75,1.0,1.0,0.026137955182072826,552.9420001506809,2.0,,5877.102,19.197,,,,,61.623000000000005,66.422,,,,
2014-04-12,7.5,,1.0,0.06368182159869593,115.98700022697449,,,93.682,,,,,,22.239,,,,,
2014-04-14,7.5,,1.0,0.006666666666666669,327.7780001163484,,,168.58999999999997,40.208,,,,,2939.1149999999993,,,,,
2014-04-15,6.0,-1.0,0.3333333333333333,0.0018079959256429832,321.80199980735784,,,3100.8449999999993,52.448,,,,,28.393,15.485999999999999,,,,
2014-04-16,6.0,0.5,0.25,0.05852007469654528,742.986000061035,,,5338.439,13.135,,,,,55.263999999999996,,,,,
2014-04-17,6.2,,0.4,0.053160014005602274,801.4089996814731,,1.0,12956.374999999998,50.411,,,,77.54299999999998,85.616,18.177,,,,
2014-04-18,6.5,-1.0,,0.020833333333333308,106.70500016212459,,,102.985,39.213,,,,,28.42,,,,,
2014-04-19,6.75,0.25,1.0,0.0017390289449112962,258.98600029945374,,1.0,131.96300000000002,78.107,,,,,48.378,,,,,
2014-04-20,7.5,-1.0,0.5,0.007997782446311861,863.2370004653925,,1.0,430.852,211.953,,,169.699,,50.40300000000001,,,,,
2014-04-21,7.0,0.25,1.0,0.04212783797729616,596.8669996261602,1.0,,1865.869,322.493,,,,,33.201,18.149,,,,
2014-04-22,7.0,-0.4,0.6,0.007632545771931958,727.9210000038146,1.0,1.0,1740.1560000000006,142.346,,,,,42.31399999999999,198.96600000000004,,,,
2014-04-23,7.0,-1.0,0.3333333333333333,0.04466630042821723,657.5240001678462,,,517.3549999999998,50.783,,,,,46.38200000000001,14.192,47.435,,,
2014-04-24,7.333333333333332,0.3333333333333333,1.0,0.0647058823529411,620.2130000591281,,,383.36700000000013,75.65,,,,32.423,33.272,,94.266,,,
2014-04-25,8.0,0.8,1.4,0.00590569561157796,805.6799995899206,,,1985.5639999999999,511.516,,,,,73.436,,,,,
2014-04-26,8.0,-1.0,1.0,0.13349753694581282,184.45900034904489,,1.0,9402.421,29.208,,,,,15.087,,,,,
2014-04-27,7.666666666666668,,1.0,0.003124999999999998,439.14100003242567,,,233.617,162.703,,,,,42.50899999999999,,,,,
