"time", "mood", "circumplex.arousal", "circumplex.valence", "activity", "screen", "call", "sms", "appCat.builtin", "appCat.communication", "appCat.entertainment", "appCat.office", "appCat.other", "appCat.social", "appCat.travel", "appCat.unknown", "appCat.utilities", "day_0", "day_1", "day_2", "day_3", "day_4", "day_5", "day_6"
2014-03-23, 7.5, 0.5, 1, 0.11844070961718, 39294.9240016937, 3, 9, 15492.36, 7462.45200000001, 571.629, 0, 172.206, 15584.181, 410.529, 1272.351, 72.213, 0, 0, 0, 0, 0, 0, 1
2014-03-24, 7, -0.25, 0.5, 0.0960912896231939, 19716.4500017166, 6, 6, 1996.422, 4989.777, 353.166, 0, 190.362, 15766.539, 410.529, 153.999, 90.675, 1, 0, 0, 0, 0, 0, 0
2014-03-25, 6.6, -0.2, 0.2, 0.143475723622782, 23861.0640020371, 3, 21, 5646.48899999999, 11046.384, 124.293, 0, 91.542, 4823.109, 410.529, 368.208, 72.273, 0, 1, 0, 0, 0, 0, 0
2014-03-26, 6.4, 0.6, 0.2, 0.116824229691877, 16267.6620018482, 6, 3, 2428.812, 7248.054, 224.124, 0, 101.088, 2622.174, 411.717, 1272.351, 72.273, 0, 0, 1, 0, 0, 0, 0
2014-03-27, 6.2, -0.2, 0.2, 0.0733047385620915, 22362.3030023575, 6, 12, 4297.128, 26857.764, 464.796, 0, 126.795, 10528.839, 292.428, 449.646, 66.336, 0, 0, 0, 1, 0, 0, 0
2014-03-28, 8, 0.2, 1, 0.0749804158951716, 22668.81899786, 12, 21, 22960.1670000001, 1836.291, 133.098, 0, 161.172, 15766.539, 217.746, 368.208, 72.597, 0, 0, 0, 0, 1, 0, 0
2014-03-29, 8.2, -0.2, 1, 0.160014005602241, 12539.0640013218, 3, 3, 8844.97200000001, 7248.054, 167.49, 0, 91.542, 5303.544, 410.529, 311.781, 81.384, 0, 0, 0, 0, 0, 1, 0
2014-03-31, 7, 0.6, 0.4, 0.0913150305099551, 16267.6620018482, 9, 6, 7959.68700000001, 7659.072, 27.156, 0, 133.377, 5135.82, 410.529, 153.999, 72.537, 1, 0, 0, 0, 0, 0, 0
2014-04-01, 6.6, 0.4, -0.2, 0.0787771489453208, 16267.6620018482, 12, 6, 3219.915, 3254.39100000001, 522.888, 0, 118.989, 7311.513, 323.625, 6.024, 79.206, 0, 1, 0, 0, 0, 0, 0
2014-04-03, 6.8, -0.2, 0.6, 0.141308296823003, 22111.9319951534, 3, 21, 10652.841, 6077.166, 232.578, 0, 1871.286, 9385.098, 411.717, 449.646, 69.246, 0, 0, 0, 1, 0, 0, 0
2014-04-04, 6.75, 0.75, 0.25, 0.129871835244506, 584.52299952507, 3, 3, 15492.36, 1602.807, 121.929, 0, 94.011, 6832.605, 411.717, 292.704, 66.336, 0, 0, 0, 0, 1, 0, 0
2014-04-05, 8, 1, 1, 0.0682161723288343, 18375.3299996853, 12, 6, 15492.36, 4989.777, 522.888, 0, 120.483, 8383.10400000001, 411.717, 311.781, 72.597, 0, 0, 0, 0, 0, 1, 0
2014-04-07, 6.75, 0.25, 0.2, 0.0749804158951716, 27522.5820007324, 12, 9, 5646.48899999999, 9876.405, 287.373, 0, 161.121, 18609.738, 163.494, 449.646, 72.537, 1, 0, 0, 0, 0, 0, 0
2014-04-10, 6.6, -0.2, 0.2, 0.116824229691877, 17983.757999897, 3, 6, 24770.577, 4793.334, 199.395, 0, 109.149, 7501.89, 411.717, 2972.784, 66.336, 0, 0, 0, 1, 0, 0, 0
2014-04-11, 6.6, 0.8, 0.2, 0.110312639548573, 18012.0839996338, 27, 3, 11108.898, 6958.57499999999, 725.085, 0, 117.93, 6546.888, 292.428, 344.145, 72.597, 0, 0, 0, 0, 1, 0, 0
2014-04-12, 7.75, 1, 1, 0.015353740366203, 32674.3920035362, 12, 3, 5646.48899999999, 7900.098, 571.629, 0, 136.767, 15584.181, 292.428, 153.999, 72.597, 0, 0, 0, 0, 0, 1, 0
2014-04-13, 7, -0.2, 0.5, 0.0682161723288343, 18449.3430011273, 6, 6, 1883.862, 2204.406, 568.557, 0, 275.862, 14275.962, 319.773, 2635.518, 66.336, 0, 0, 0, 0, 0, 0, 1
2014-04-14, 7.4, 0.4, 0.4, 0.0650244499509205, 18375.3299996853, 6, 9, 3431.382, 3254.39100000001, 522.888, 0, 139.089, 10869.282, 292.428, 920.265, 66.336, 1, 0, 0, 0, 0, 0, 0
2014-04-15, 6.8, 0.2, 0.4, 0.100203061450569, 25872.4559962749, 6, 12, 7959.68700000001, 1836.291, 33.321, 398.937, 172.206, 16204.098, 211.641, 153.999, 69.246, 0, 1, 0, 0, 0, 0, 0
2014-04-16, 6.8, 0.2, 0.2, 0.0858951914098973, 10581.3510024548, 3, 3, 63175.422, 1342.836, 1319.073, 0, 196.212, 7311.513, 211.641, 449.646, 66.336, 0, 0, 1, 0, 0, 0, 0
2014-04-17, 6, -0.2, -0.2, 0.0815159185142984, 18306.8340017795, 6, 3, 4738.203, 6884.04900000001, 815.421, 0, 126.795, 7906.023, 323.625, 920.265, 72.213, 0, 0, 0, 1, 0, 0, 0
2014-04-18, 7.2, 0.6, 0.8, 0.0768839477251721, 31387.7010011673, 21, 21, 13635.612, 9546.966, 544.377, 0, 161.172, 18609.738, 411.717, 1272.351, 66.336, 0, 0, 0, 0, 1, 0, 0
2014-04-19, 8, 1, 1, 0.215784476414762, 9569.32800221444, 27, 3, 34646.4599999999, 3175.059, 1519.899, 0, 127.38, 4960.191, 323.625, 153.999, 69.246, 0, 0, 0, 0, 0, 1, 0
2014-04-20, 8, 0.6, 1, 0.0328671565702588, 21389.4449987411, 12, 3, 1102.935, 2615.07, 192.837, 0, 190.362, 17211.807, 410.529, 368.208, 69.246, 0, 0, 0, 0, 0, 0, 1
2014-04-21, 6.4, -0.2, 0.4, 0.0939812012375572, 23151.7170016766, 15, 21, 2522.16, 6336.426, 571.629, 0, 127.281, 13642.443, 410.529, 368.208, 66.336, 1, 0, 0, 0, 0, 0, 0
2014-04-22, 7.25, 0.5, 1, 0.107225842314327, 22752.4620058537, 6, 21, 19706.583, 7900.098, 133.098, 0, 138.753, 7020.33300000001, 163.269, 6.027, 72.273, 0, 1, 0, 0, 0, 0, 0
2014-04-23, 6.2, 0.2, 0.2, 0.0960912896231939, 19716.4500017166, 3, 3, 4554.072, 4363.737, 33.321, 0, 185.457, 10528.839, 323.625, 6.027, 72.597, 0, 0, 1, 0, 0, 0, 0
2014-04-24, 5.8, -0.2, -0.4, 0.0768722602035164, 22362.3030023575, 6, 3, 21910.848, 11046.384, 199.395, 0, 118.989, 7363.992, 319.773, 920.265, 69.246, 0, 0, 0, 1, 0, 0, 0
2014-04-25, 6.6, 0.2, 0.4, 0.110312639548573, 29238.9120025635, 3, 21, 22960.1670000001, 12826.617, 133.098, 0, 161.121, 11452.632, 411.717, 920.265, 72.537, 0, 0, 0, 0, 1, 0, 0
2014-04-26, 8, 1, 1, 0.284122697515314, 18012.0839996338, 9, 6, 2428.812, 9843.36, 167.49, 0, 101.196, 5135.82, 356.058, 368.208, 72.537, 0, 0, 0, 0, 0, 1, 0
2014-04-27, 7.8, 0.8, 0.8, 0.0787771489453208, 7048.18200159073, 12, 6, 2044.077, 1602.807, 232.578, 0, 172.746, 2622.174, 292.428, 920.265, 79.206, 0, 0, 0, 0, 0, 0, 1
