"time","mood","circumplex.arousal","circumplex.valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","day_0","day_1","day_2","day_3","day_4","day_5","day_6"
"2014-04-02",8.5,0.25,1.5,0.1535813214,8183.5229980946,3,6,667.275,2767.035,21.069,1125.309,511.347,6548.61,2333.7,0,42.378,0,0,1,0,0,0,0
"2014-04-03",7.25,-1,0.25,0.1886913421,11817.9960007668,3,3,399.042,5608.563,66.93,3898.785,413.67,4475.955,272.151,0,9.282,0,0,0,1,0,0,0
"2014-04-04",8,-1.25,0.75,0.0151262922,11901.2279963493,3,9,40.566,2480.118,516.198,378.966,208.32,5952.78,2333.7,0,9.282,0,0,0,0,1,0,0
"2014-04-05",8.2,0.8,0.8,0.14988215,20418.2340009213,6,6,455.712,7372.767,544.413,2565.636,262.965,8289.399,950.982,0,24.261,0,0,0,0,0,1,0
"2014-04-06",7.75,0.6,0.8,0.1146353451,28595.7089989185,3,18,725.802,6425.895,3845.136,1038.957,645.912,21370.992,414.801,0,45.174,0,0,0,0,0,0,1
"2014-04-07",7.2,-0.6,0.2,0.1954092748,33575.7780017853,3,3,799.917,7470.339,141.426,2390.892,704.94,21980.775,63.858,0,9.18,1,0,0,0,0,0,0
"2014-04-08",7.8,-0.8,1,0.1375670635,44619.912001133,3,12,3632.199,13607.331,2090.4,4298.613,217.476,20551.605,548.967,0,12.093,0,1,0,0,0,0,0
"2014-04-09",7.6,0.4,0.4,0.0684037452,16852.1280019283,3,18,704.565,9455.745,39.375,1797.987,184.824,9582.957,664.305,0,6.045,0,0,1,0,0,0,0
"2014-04-10",8.6,0.4,1.4,0.1676437976,21931.5629925728,3,9,1253.766,5936.577,147.603,2013.345,2139.837,10439.832,664.305,0,45.174,0,0,0,1,0,0,0
"2014-04-11",7.2,0.2,0.6,0.0189782347,20661.3959999085,3,18,78.297,7528.377,300.714,2964.315,168.867,9519.06,272.151,0,12.123,0,0,0,0,1,0,0
"2014-04-12",8.25,1,0.75,0.1154699575,7996.9799973965,3,3,249.096,5512.599,290.358,876.075,199.479,449.94,414.801,0,81.186,0,0,0,0,0,1,0
