mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
,,,,,2.0,,,,,,,,,,,,,
,,,,,1.0,,,,,,,,,,,,,
,,,,,7.0,2.0,,,,,,,,,,,,
,,,,,2.0,3.0,,,,,,,,,,,,
,,,,,0.0,1.0,,,,,,,,,,,,
,,,,,2.0,1.0,,,,,,,,,,,,
,,,,,0.0,0.0,,,,,,,,,,,,
,,,,,0.0,0.0,,,,,,,,,,,,
,,,,,3.0,0.0,,,,,,,,,,,,
6.25,-0.25,0.75,,,1.0,2.0,,,,,,,,,,,,
6.333333333333333,0.0,0.3333333333333333,,,0.0,0.0,,,,,,,,,,,,
,,,,,4.0,0.0,,,,,,,,,,,,
,,,,,0.0,1.0,,,,,,,,,,,,
,,,,,0.0,0.0,,,,,,,,,,,,
,,,,,1.0,0.0,,,,,,,,,,,,
,,,,,0.0,0.0,,,,,,,,,,,,
,,,,,1.0,0.0,,,,,,,,,,,,
,,,,,1.0,0.0,,,,,,,,,,,,
,,,,,5.0,0.0,,,,,,,,,,,,
,,,,,0.0,0.0,,,,,,,,,,,,
,,,,,0.0,0.0,,,,,,,,,,,,
,,,,,1.0,0.0,,,,,,,,,,,,
,,,,,3.0,0.0,,,,,,,,,,,,
,,,,,7.0,1.0,,,,,,,,,,,,
,,,,,4.0,0.0,,,,,,,,,,,,
,,,,,3.0,1.0,,,,,,,,,,,,
,,,,,0.0,1.0,,,,,,,,,,,,
,,,,,0.0,3.0,,,,,,,,,,,,
,,,,,0.0,1.0,,,,,,,,,,,,
,,,,,1.0,2.0,,,,,,,,,,,,
,,,,,1.0,0.0,,,,,,,,,,,,
,,,0.08154761904761905,2275.9440002441406,1.0,0.0,248.97899999999998,2168.2290000000003,350.856,,,,11.345,807.7309999999999,,45.173,21.073999999999998,
6.2,0.2,0.2,0.13405010398938863,17978.907000064843,6.0,0.0,3139.2180000000008,6280.890000000002,1007.4559999999999,49.544000000000004,,172.20600000000002,239.751,4508.5,915.4450000000002,0.0,598.7539999999999,
6.4,0.6,0.5,0.23688021923995814,6142.1609995365125,3.0,1.0,731.4290000000001,4962.918000000003,93.324,21.076,,0.0,98.143,439.63199999999995,37.305,0.0,117.62100000000001,
6.8,0.2,0.8,0.14274111580506366,6773.832001447676,0.0,0.0,1286.2460000000005,5237.319,94.346,43.403000000000006,,0.0,72.82300000000001,900.839,0.0,0.0,30.086,30.386
6.0,0.8,0.0,0.07896105611559795,15047.351000547405,10.0,0.0,866.9559999999991,9270.629000000004,976.971,34.106,,3.01,66.55799999999999,3223.6259999999993,419.80500000000006,0.0,178.732,
6.75,0.5,0.5,0.09837411239050677,21475.35499906539,0.0,1.0,1032.768,10276.751,68.206,43.054,,0.0,178.81900000000002,1919.4710000000002,0.0,235.22300000000004,222.89300000000006,
6.6,-0.2,0.6,0.10130832167007592,16423.80100035667,0.0,0.0,1167.497,8988.752999999993,910.479,52.33099999999999,,0.0,97.498,4592.059,0.0,0.0,33.365,
7.0,0.2,0.8,0.1595106409690975,17442.14999938011,2.0,1.0,1229.3269999999998,6936.511999999999,639.3389999999999,42.218999999999994,,182.451,58.532,935.3810000000001,47.314,0.0,179.02899999999997,
6.4,-0.6,0.6,0.09569802163712016,4923.48899960518,5.0,0.0,10062.595000000001,866.8329999999999,1005.403,89.166,233.03599999999997,0.0,225.951,512.7410000000001,1133.009,0.0,301.717,
8.0,0.2,1.0,0.06820281010186964,8322.621999740602,4.0,1.0,1952.630000000001,2720.691999999999,1627.429,0.0,0.0,0.0,169.59399999999997,472.888,52.435,0.0,600.6370000000001,
7.5,-0.5,0.75,0.049092970521542004,4523.2140009403265,0.0,0.0,414.365,1298.505,1535.677,0.0,0.0,0.0,74.00299999999999,167.685,0.0,66.477,38.296,
7.4,0.0,0.6,0.07050548088338955,11836.834000349041,6.0,0.0,2961.405,5332.637,1758.9199999999998,41.255,51.176,0.0,268.554,1350.6549999999995,183.381,29.29,210.305,
6.0,0.2,0.0,0.118443242712736,17173.906002044674,1.0,0.0,1385.5169999999994,6095.526000000001,1030.637,547.8259999999999,234.741,92.388,121.19000000000001,5040.067000000004,1614.6209999999999,0.0,517.636,
6.5,0.3333333333333333,0.6666666666666666,0.10191661063822348,21358.510999917988,4.0,0.0,3614.349000000001,6920.156000000003,1343.3760000000002,247.777,0.0,90.48100000000001,541.541,3428.7920000000017,0.0,0.0,341.37100000000004,
6.4,-1.2,0.0,0.04923847270844107,21401.835000753403,4.0,0.0,2321.4639999999995,14438.081999999997,1293.6309999999999,76.234,0.0,0.0,213.90199999999996,3154.2409999999995,19.082,0.0,182.772,
6.2,0.2,0.4,0.12668931120732582,12379.411000013357,2.0,1.0,1957.8289999999997,5481.628,1545.227,0.0,0.0,0.0,176.80100000000002,2086.197,158.24099999999999,0.0,128.692,
6.8,-0.4,0.6,0.1190023022034455,3340.4309999942784,0.0,0.0,15159.189999999999,1885.4089999999999,76.369,0.0,0.0,0.0,81.133,363.20799999999997,187.945,0.0,118.95599999999999,
6.5,-0.75,0.5,0.06440779944246815,7467.321999788282,4.0,0.0,4548.662000000001,3355.743,187.214,0.0,114.406,0.0,119.12,321.46,0.0,0.0,46.249,
6.5,-0.6666666666666666,0.25,0.05067062117431789,9846.380999803541,1.0,0.0,927.3770000000001,7355.015000000005,447.121,46.128,0.0,17.107,170.348,1475.418,60.247,0.0,205.811,
6.6,-0.4,0.3333333333333333,0.07532705826134849,15101.13200187683,1.0,0.0,892.689,9477.553,3466.4790000000007,19.131,0.0,0.0,209.514,2655.121000000001,0.0,0.0,36.143,
7.4,-0.8,1.0,0.12038411453232874,13558.289000988008,4.0,0.0,1638.6169999999986,6177.076,940.7700000000001,0.0,0.0,0.0,346.654,2826.3500000000004,0.0,0.0,577.359,
7.4,-0.4,0.8,0.07896310519489107,9296.09899926186,7.0,0.0,715.3550000000005,4881.411000000001,1858.8930000000005,0.0,1.0590000000000002,23.195,107.91900000000001,1174.7170000000003,0.0,0.0,377.68699999999995,
