time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
2014-02-17,,,,,,15.0,,,,,,,,,,,,,
2014-02-18,,,,,,21.0,,,,,,,,,,,,,
2014-02-19,,,,,,3.0,,,,,,,,,,,,,
2014-02-20,,,,,,15.0,,,,,,,,,,,,,
2014-02-21,,,,,,6.0,,,,,,,,,,,,,
2014-02-22,,,,,,,15.0,,,,,,,,,,,,
2014-02-23,,,,,,,18.0,,,,,,,,,,,,
2014-02-24,,,,,,,21.0,,,,,,,,,,,,
2014-02-25,,,,,,3.0,30.0,,,,,,,,,,,,
2014-02-26,,,,,,,27.0,,,,,,,,,,,,
2014-02-27,,,,,,3.0,33.0,,,,,,,,,,,,
2014-02-28,,,,,,,27.0,,,,,,,,,,,,
2014-03-01,,,,,,9.0,15.0,,,,,,,,,,,,
2014-03-02,,,,,,,,,,,,,,,,,,,
2014-03-03,,,,,,,,,,,,,,,,,,,
2014-03-04,,,,,,15.0,,,,,,,,,,,,,
2014-03-05,,,,,,3.0,,,,,,,,,,,,,
2014-03-06,,,,,,3.0,,,,,,,,,,,,,
2014-03-07,,,,,,3.0,3.0,,,,,,,,,,,,
2014-03-08,,,,,,,,,,,,,,,,,,,
2014-03-09,,,,,,,,,,,,,,,,,,,
2014-03-10,,,,,,12.0,,,,,,,,,,,,,
2014-03-11,,,,,,,,,,,,,,,,,,,
2014-03-12,,,,,,12.0,,,,,,,,,,,,,
2014-03-13,,,,,,6.0,,,,,,,,,,,,,
2014-03-14,,,,,,,,,,,,,,,,,,,
2014-03-15,,,,,,,24.0,,,,,,,,,,,,
2014-03-16,,,,,,,6.0,,,,,,,,,,,,
2014-03-17,,,,,,,3.0,,,,,,,,,,,,
2014-03-18,,,,,,3.0,,,,,,,,,,,,,
2014-03-19,,,,,,,,,,,,,,,,,,,
2014-03-20,,,,,,,3.0,,,,,,,,,,,,
2014-03-21,,,,,,,3.0,,,,,,,,,,,,
2014-03-22,,,,,,,18.0,,,,,,,,,,,,
2014-03-23,,,,,,3.0,3.0,,,,,,,,,,,,
2014-03-24,7.0,-1.0,,0.043431899641577065,7524.764998912811,9.0,,130.48499999999999,3301.5419999999995,3220.131000000003,,,,661.0440000000004,876.8910000000004,,,,
2014-03-25,7.0,-0.2,0.6,0.13770858770858774,23189.310002088547,,,350.66100000000006,11792.690999999999,8999.907,,,830.8139999999995,336.65999999999997,2624.195999999999,,,,
2014-03-26,8.0,0.5,1.5,0.13556265296587805,23677.59300327301,6.0,,637.5360000000001,9703.499999999995,5852.87099999999,,,107.076,180.14100000000002,9430.958999999992,1692.5279999999989,,,
2014-03-27,7.0,0.25,0.25,0.1323286052009457,24501.47100162506,3.0,,1571.0880000000002,12137.519999999997,7359.77700000001,,,,166.944,3244.613999999998,,,,
2014-03-28,7.6,-0.2,0.8,0.17147079420003308,20785.914005756378,,3.0,126.93299999999999,10764.573,5987.988,,,126.789,1103.5080000000003,10251.309000000007,240.04500000000002,,,
2014-03-29,7.8,,1.0,0.11158088235294122,11721.392999410627,,,97.23299999999999,5644.448999999998,2359.6650000000013,,,,304.4009999999999,3772.568999999999,,,,
2014-03-30,7.8,,0.8,0.21129785247432306,26801.162997007355,3.0,12.0,5623.992,1649.5380000000007,6173.6669999999995,,7158.995999999999,,133.17299999999997,6216.282000000001,,,,14.577000000000002
