date_minus_time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
2014-02-17,,,,,,,7.0,,,,,,,,,,,,
2014-02-18,,,,,,1.0,0.0,,,,,,,,,,,,
2014-02-19,,,,,,2.0,0.0,,,,,,,,,,,,
2014-02-20,,,,,,2.0,1.0,,,,,,,,,,,,
2014-02-21,,,,,,1.0,1.0,,,,,,,,,,,,
2014-02-22,,,,,,0.0,4.0,,,,,,,,,,,,
2014-02-23,,,,,,1.0,0.0,,,,,,,,,,,,
2014-02-24,,,,,,2.0,0.0,,,,,,,,,,,,
2014-02-25,,,,,,9.0,2.0,,,,,,,,,,,,
2014-02-26,,,,,,5.0,0.0,,,,,,,,,,,,
2014-02-27,,,,,,2.0,0.0,,,,,,,,,,,,
2014-02-28,,,,,,1.0,11.0,,,,,,,,,,,,
2014-03-01,,,,,,0.0,0.0,,,,,,,,,,,,
2014-03-02,,,,,,6.0,2.0,,,,,,,,,,,,
2014-03-03,,,,,,1.0,6.0,,,,,,,,,,,,
2014-03-04,,,,,,1.0,6.0,,,,,,,,,,,,
2014-03-05,,,,,,5.0,5.0,,,,,,,,,,,,
2014-03-06,,,,,,3.0,2.0,,,,,,,,,,,,
2014-03-07,,,,,,4.0,2.0,,,,,,,,,,,,
2014-03-08,,,,,,0.0,0.0,,,,,,,,,,,,
2014-03-09,,,,,,0.0,0.0,,,,,,,,,,,,
2014-03-10,,,,,,4.0,4.0,,,,,,,,,,,,
2014-03-11,,,,,,0.0,0.0,,,,,,,,,,,,
2014-03-12,,,,,,0.0,0.0,,,,,,,,,,,,
2014-03-13,,,,,,2.0,4.0,,,,,,,,,,,,
2014-03-14,,,,,,5.0,1.0,,,,,,,,,,,,
2014-03-15,,,,,,9.0,0.0,,,,,,,,,,,,
2014-03-16,,,,,,3.0,0.0,,,,,,,,,,,,
2014-03-17,,,,,,0.0,0.0,,,,,,,,,,,,
2014-03-18,,,,,,5.0,2.0,,,,,,,,,,,,
2014-03-19,,,,,,0.0,1.0,,,,,,,,,,,,
2014-03-20,7.0,0.3333333333333333,0.6666666666666666,,,1.0,0.0,,,,,,,,,,,,
2014-03-21,6.4,-0.6,0.4,0.1733855664203312,10506.898999214172,9.0,0.0,2765.003000000002,2927.5059999999994,214.909,413.512,,,3858.5089999999996,1411.919,63.638000000000005,,,
2014-03-22,5.8,-0.6,0.0,0.09600046671698097,12238.167000055311,0.0,0.0,5753.343999999999,4851.759000000001,604.668,281.008,,,1110.389,1862.0809999999997,0.0,,12.133,
2014-03-23,6.0,-0.6,0.2,0.0664366525273635,8890.100001811981,0.0,0.0,5172.018999999999,3209.2239999999997,315.57700000000006,159.62400000000002,,,304.809,1348.606,0.0,,,
2014-03-24,6.5,-1.0,0.25,0.08183477959828252,12546.419000387192,0.0,0.0,3389.117999999999,6946.742000000003,465.08600000000007,868.4490000000002,,,439.07399999999996,950.6170000000001,210.029,,,
2014-03-25,5.75,-0.25,0.0,0.0869440958385846,13155.095999240875,1.0,1.0,5014.600999999999,5569.082999999997,0.0,377.51599999999996,,,1517.7050000000002,1172.6940000000004,1469.5230000000001,,,
2014-03-26,7.0,-0.2,1.0,0.13618336177266904,10784.664999961853,1.0,1.0,3035.8779999999983,4654.1359999999995,517.6050000000001,6.047999999999999,,,1899.149,1055.6129999999998,104.189,,,
2014-03-27,6.6,-1.0,0.8,0.08024686578120242,12552.150002241136,1.0,0.0,1914.5849999999987,9562.313000000002,245.31099999999998,155.584,,,98.69300000000001,1623.884,1.008,,,
2014-03-28,6.2,-0.4,0.6,0.06968399873534262,11750.760998725891,1.0,0.0,6551.704,7143.947000000001,161.928,223.365,,,309.146,1189.3580000000002,0.0,13.838000000000001,,
2014-03-29,8.0,-0.25,1.25,0.16564287093948113,4674.6099982261685,1.0,1.0,3150.464,1853.369,11.45,155.061,,,33.428,821.441,0.0,,,
2014-03-30,6.5,-1.0,1.0,0.009551822310687783,2666.268000602723,1.0,0.0,26314.186,520.2429999999999,,0.0,,,24.286,0.0,0.0,,,
2014-03-31,6.75,-0.25,0.75,0.0465551757426134,3093.0129997730246,4.0,2.0,3419.887999999999,1041.851,,0.0,,,39.337,0.0,0.0,,,
2014-04-01,6.2,0.0,0.4,0.052005566719441405,430.883999824524,0.0,0.0,262.253,95.11999999999999,,0.0,,,40.202,32.446,0.0,,,
2014-04-02,7.0,-1.0,1.0,0.06348750312481978,779.8729991912842,0.0,0.0,1549.849,160.763,,0.0,,,14.067,71.732,0.0,,,
2014-04-03,7.333333333333333,-0.5,1.0,0.06938709391802697,2372.658999443057,0.0,0.0,1613.3329999999996,373.99800000000005,,8.059,,,67.906,46.582,0.0,,,
2014-04-04,7.5,-1.0,1.0,0.0038194444444444413,307.5409996509551,0.0,0.0,239.324,36.288000000000004,,,,,31.473,0.0,0.0,,,
2014-04-05,7.4,-1.6,0.6,0.016678436911487748,1485.8990004062653,0.0,0.0,1584.166,755.504,,,,3.011,66.697,79.28,0.0,,,
2014-04-06,7.4,-1.0,1.0,0.02901523603791795,1263.3870003223412,1.0,0.0,1628.3429999999998,6760.954,,,,0.0,44.724,109.675,0.0,,,
2014-04-07,7.0,-0.2,1.0,0.008827357154755957,550.3640000820161,0.0,1.0,224.36500000000004,106.627,,,,0.0,84.597,133.944,0.0,,,
2014-04-08,6.8,-0.2,0.8,0.03959208683473389,452.8569993972779,1.0,0.0,40323.87699999999,67.482,,,,0.0,47.408,0.0,0.0,,,
2014-04-09,8.0,0.3333333333333333,1.0,0.11708683473389359,1098.342000484467,0.0,0.0,879.3349999999998,166.57600000000002,,,,0.0,30.412,13.054,0.0,,,
2014-04-10,6.666666666666667,-0.3333333333333333,1.0,0.052010804321728686,846.4809994697569,0.0,0.0,881.5429999999998,18.882,,,,0.0,23.165,29.299,0.0,,,
2014-04-11,7.75,1.0,1.0,0.026137955182072823,552.9420001506808,2.0,0.0,5877.102,19.197,,,,0.0,61.62299999999999,66.422,0.0,,,
2014-04-12,7.5,0.0,1.0,0.06368182159869593,115.98700022697449,0.0,0.0,93.68200000000002,0.0,,,,0.0,22.238999999999997,0.0,0.0,,,
2014-04-13,,,,0.0,29.7229998111725,0.0,0.0,29.695,0.0,,,,0.0,0.0,0.0,0.0,,,
2014-04-14,7.5,0.0,1.0,0.006666666666666669,327.7780001163484,0.0,0.0,168.59,40.208,,,,0.0,2939.115,0.0,0.0,,,
