p31,period,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mon,tue,wed,thu,fri,sat,sun,target_mood,p7,p30,p3,p6,p2,p16,p1,p32,p17,p28,p23,p14,p12,p9,p26,p27,p19,p15,p5,p20,p24,p13,p33,p29,p25,p8
1.0,t = 0-3,6.755555555555556,0.6166666666666667,0.7055555555555556,0.19919647704637367,29191.287998676282,6.0,9.0,2602.6830000000004,3522.8269999999998,452.52299999999997,96.31700000000001,,53.441,363.32300000000004,414.202,293.206,,226.35999999999999,,0,1,1,1,0,0,0,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,t = 1-4,6.68888888888889,0.6,0.6722222222222222,0.189374241528939,29255.87699937818,6.0,9.0,2583.4290000000005,2104.5550000000003,469.57699999999994,109.498,,39.48000000000001,258.349,579.099,432.65000000000003,,410.71599999999995,,0,0,1,1,1,0,0,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,t = 2-5,6.933333333333333,0.65,0.6666666666666666,0.19216935527093934,21709.08100032805,10.0,10.0,2574.853999999997,1732.3360000000002,515.035,53.363,,356.18199999999996,306.63399999999996,358.34700000000004,432.65000000000003,,393.1989999999999,,0,0,0,1,1,1,0,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,t = 3-6,6.933333333333333,0.6166666666666667,0.6,0.18149007741538767,15982.768000125883,8.0,7.0,3994.540999999997,1688.563,534.247,88.334,,429.635,191.21699999999998,299.11500000000007,425.078,,373.2219999999999,,0,0,0,0,1,1,1,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,t = 4-7,6.866666666666666,0.6,0.5833333333333333,0.18587887088578933,18961.134000301365,7.0,6.0,4279.309999999997,2388.877,401.62600000000003,92.236,,443.596,193.201,145.52200000000008,436.98199999999997,,308.2449999999999,,1,0,0,0,0,1,1,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,t = 5-8,6.733333333333332,0.5833333333333333,0.5833333333333333,0.15251026950933966,16418.61099886893,3.0,5.0,4224.097000000001,2613.6900000000005,477.16400000000004,154.554,,137.04600000000002,310.97900000000004,386.09700000000015,436.98199999999997,,301.59499999999997,,1,1,0,0,0,0,1,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,t = 6-9,6.8666666666666645,0.5833333333333333,0.6166666666666667,0.1699091212084923,12770.883998632431,3.0,6.0,3522.001,4106.545,569.067,127.604,,58.84300000000002,335.7200000000001,598.7570000000002,344.33099999999996,,324.671,,1,1,1,0,0,0,0,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,t = 7-10,7.0666666666666655,0.6,0.6499999999999999,0.18803097987613296,20609.610996723164,4.0,7.0,4866.693,7840.079999999999,683.922,215.5,,108.30800000000004,387.12500000000006,843.3100000000001,332.42699999999996,,579.7320000000001,,0,1,1,1,0,0,0,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,t = 8-11,7.333333333333332,0.6,0.7,0.23114770891963132,31129.29099678992,13.0,7.0,9921.505000000032,12375.588999999998,558.221,309.68399999999997,,275.233,221.1210000000001,855.9100000000002,471.87100000000004,,1408.0370000000003,,0,0,1,1,1,0,0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,t = 9-12,7.333333333333332,0.6333333333333333,0.7166666666666666,0.23160079521987198,35332.616997480385,17.0,7.0,9393.506000000032,11552.807999999997,486.77899999999994,314.844,,284.99600000000004,159.02800000000008,647.3060000000002,564.522,,1462.5780000000002,,0,0,0,1,1,1,0,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
