time,variable,value
2014-03-23 17:00:00.000,mood,8
2014-03-23 21:00:00.000,mood,7
2014-03-24 09:00:00.000,mood,7
2014-03-24 15:00:00.000,mood,7
2014-03-24 17:00:00.000,mood,7
2014-03-24 21:00:00.000,mood,7
2014-03-25 09:00:00.000,mood,6
2014-03-25 12:00:00.000,mood,6
2014-03-25 16:00:00.000,mood,7
2014-03-25 18:00:00.000,mood,7
2014-03-25 20:00:00.000,mood,7
2014-03-26 09:00:00.000,mood,6
2014-03-26 11:00:00.000,mood,6
2014-03-26 15:00:00.000,mood,6
2014-03-26 18:00:00.000,mood,7
2014-03-26 21:00:00.000,mood,7
2014-03-27 09:00:00.000,mood,6
2014-03-27 13:00:00.000,mood,6
2014-03-27 16:00:00.000,mood,6
2014-03-27 18:00:00.000,mood,6
2014-03-27 23:00:00.000,mood,7
2014-03-28 09:00:00.000,mood,8
2014-03-28 11:00:00.000,mood,8
2014-03-28 16:00:00.000,mood,8
2014-03-28 17:00:00.000,mood,8
2014-03-28 21:00:00.000,mood,8
2014-03-29 09:00:00.000,mood,8
2014-03-29 12:00:00.000,mood,8
2014-03-29 15:00:00.000,mood,8
2014-03-29 17:00:00.000,mood,8
2014-03-29 21:00:00.000,mood,9
2014-03-30 10:00:00.000,mood,8
2014-03-30 11:00:00.000,mood,7
2014-03-30 15:00:00.000,mood,7
2014-03-30 18:00:00.000,mood,7
2014-03-30 21:00:00.000,mood,7
2014-03-31 09:00:00.000,mood,7
2014-03-31 12:00:00.000,mood,6
2014-03-31 15:00:00.000,mood,6
2014-03-31 18:00:00.000,mood,8
2014-03-31 21:00:00.000,mood,8
2014-04-01 09:00:00.000,mood,7
2014-04-01 12:00:00.000,mood,7
2014-04-01 15:00:00.000,mood,7
2014-04-01 19:00:00.000,mood,7
2014-04-01 21:00:00.000,mood,5
2014-04-02 09:00:00.000,mood,6
2014-04-02 13:00:00.000,mood,6
2014-04-02 16:00:00.000,mood,6
2014-04-02 18:00:00.000,mood,7
2014-04-02 21:00:00.000,mood,7
2014-04-03 09:00:00.000,mood,6
2014-04-03 13:00:00.000,mood,6
2014-04-03 15:00:00.000,mood,7
2014-04-03 18:00:00.000,mood,7
2014-04-03 21:00:00.000,mood,8
2014-04-04 09:00:00.000,mood,5
2014-04-04 14:00:00.000,mood,6
2014-04-04 18:00:00.000,mood,8
2014-04-04 22:00:00.000,mood,8
2014-04-05 09:00:00.000,mood,8
2014-04-05 12:00:00.000,mood,8
2014-04-05 15:00:00.000,mood,8
2014-04-05 17:00:00.000,mood,8
2014-04-05 21:00:00.000,mood,8
2014-04-06 11:00:00.000,mood,7
2014-04-06 13:00:00.000,mood,7
2014-04-06 15:00:00.000,mood,7
2014-04-06 18:00:00.000,mood,6
2014-04-07 08:00:00.000,mood,6
2014-04-07 12:00:00.000,mood,7
2014-04-07 18:00:00.000,mood,7
2014-04-07 21:00:00.000,mood,7
2014-04-08 09:00:00.000,mood,6
2014-04-08 12:00:00.000,mood,6
2014-04-08 15:00:00.000,mood,6
2014-04-08 18:00:00.000,mood,7
2014-04-08 20:00:00.000,mood,7
2014-04-09 09:00:00.000,mood,6
2014-04-09 14:00:00.000,mood,6
2014-04-09 15:00:00.000,mood,6
2014-04-09 18:00:00.000,mood,7
2014-04-09 21:00:00.000,mood,7
2014-04-10 09:00:00.000,mood,6
2014-04-10 12:00:00.000,mood,6
2014-04-10 16:00:00.000,mood,6
2014-04-10 18:00:00.000,mood,7
2014-04-10 21:00:00.000,mood,8
2014-04-11 09:00:00.000,mood,6
2014-04-11 13:00:00.000,mood,5
2014-04-11 16:00:00.000,mood,6
2014-04-11 18:00:00.000,mood,8
2014-04-11 20:00:00.000,mood,8
2014-04-12 09:00:00.000,mood,8
2014-04-12 12:00:00.000,mood,7
2014-04-12 18:00:00.000,mood,8
2014-04-12 21:00:00.000,mood,8
2014-04-13 11:00:00.000,mood,7
2014-04-13 12:00:00.000,mood,7
2014-04-13 15:00:00.000,mood,7
2014-04-13 18:00:00.000,mood,7
2014-04-13 21:00:00.000,mood,7
2014-04-14 09:00:00.000,mood,7
2014-04-14 12:00:00.000,mood,8
2014-04-14 15:00:00.000,mood,8
2014-04-14 18:00:00.000,mood,7
2014-04-14 21:00:00.000,mood,7
2014-04-15 09:00:00.000,mood,7
2014-04-15 12:00:00.000,mood,6
2014-04-15 14:00:00.000,mood,7
2014-04-15 18:00:00.000,mood,7
2014-04-15 21:00:00.000,mood,7
2014-04-16 09:00:00.000,mood,6
2014-04-16 13:00:00.000,mood,6
2014-04-16 16:00:00.000,mood,8
2014-04-16 18:00:00.000,mood,7
2014-04-16 21:00:00.000,mood,7
2014-04-17 09:00:00.000,mood,6
2014-04-17 13:00:00.000,mood,6
2014-04-17 16:00:00.000,mood,6
2014-04-17 18:00:00.000,mood,5
2014-04-17 21:00:00.000,mood,7
2014-04-18 09:00:00.000,mood,6
2014-04-18 12:00:00.000,mood,7
2014-04-18 15:00:00.000,mood,8
2014-04-18 17:00:00.000,mood,7
2014-04-18 21:00:00.000,mood,8
2014-04-19 09:00:00.000,mood,8
2014-04-19 13:00:00.000,mood,8
2014-04-19 16:00:00.000,mood,8
2014-04-19 18:00:00.000,mood,8
2014-04-19 20:00:00.000,mood,8
2014-04-20 09:00:00.000,mood,8
2014-04-20 12:00:00.000,mood,8
2014-04-20 14:00:00.000,mood,8
2014-04-20 18:00:00.000,mood,8
2014-04-20 21:00:00.000,mood,8
2014-04-21 09:00:00.000,mood,6
2014-04-21 12:00:00.000,mood,6
2014-04-21 15:00:00.000,mood,6
2014-04-21 18:00:00.000,mood,7
2014-04-21 20:00:00.000,mood,7
2014-04-22 09:00:00.000,mood,7
2014-04-22 12:00:00.000,mood,7
2014-04-22 18:00:00.000,mood,7
2014-04-22 21:00:00.000,mood,8
2014-04-23 09:00:00.000,mood,7
2014-04-23 11:00:00.000,mood,5
2014-04-23 15:00:00.000,mood,6
2014-04-23 17:00:00.000,mood,6
2014-04-23 21:00:00.000,mood,7
2014-04-24 09:00:00.000,mood,6
2014-04-24 12:00:00.000,mood,6
2014-04-24 15:00:00.000,mood,5
2014-04-24 18:00:00.000,mood,5
2014-04-24 21:00:00.000,mood,7
2014-04-25 09:00:00.000,mood,6
2014-04-25 12:00:00.000,mood,6
2014-04-25 15:00:00.000,mood,7
2014-04-25 18:00:00.000,mood,8
2014-04-25 21:00:00.000,mood,6
2014-04-26 09:00:00.000,mood,8
2014-04-26 12:00:00.000,mood,8
2014-04-26 16:00:00.000,mood,8
2014-04-26 20:00:00.000,mood,8
2014-04-26 21:00:00.000,mood,8
2014-04-27 09:00:00.000,mood,8
2014-04-27 14:00:00.000,mood,8
2014-04-27 15:00:00.000,mood,8
2014-04-27 19:00:00.000,mood,8
2014-04-27 21:00:00.000,mood,7
2014-04-28 09:00:00.000,mood,8
2014-04-28 12:00:00.000,mood,8
2014-04-28 15:00:00.000,mood,8
2014-04-28 19:00:00.000,mood,8
2014-04-28 21:00:00.000,mood,8
2014-04-29 09:00:00.000,mood,5
2014-04-29 12:00:00.000,mood,6
2014-04-29 15:00:00.000,mood,6
2014-04-29 18:00:00.000,mood,8
2014-04-29 21:00:00.000,mood,8
2014-04-30 09:00:00.000,mood,6
2014-04-30 13:00:00.000,mood,6
2014-04-30 16:00:00.000,mood,6
2014-04-30 18:00:00.000,mood,6
2014-04-30 21:00:00.000,mood,7
2014-05-01 09:00:00.000,mood,6
2014-05-01 12:00:00.000,mood,6
2014-05-01 16:00:00.000,mood,6
2014-05-01 18:00:00.000,mood,8
2014-05-01 21:00:00.000,mood,8
2014-05-02 09:00:00.000,mood,6
2014-05-02 13:00:00.000,mood,7
2014-05-02 15:00:00.000,mood,8
2014-05-02 18:00:00.000,mood,7
2014-05-02 21:00:00.000,mood,8
2014-05-03 09:00:00.000,mood,8
2014-05-03 12:00:00.000,mood,7
2014-05-03 15:00:00.000,mood,8
2014-05-03 18:00:00.000,mood,8
2014-05-03 21:00:00.000,mood,8
2014-05-04 10:00:00.000,mood,8
2014-05-04 12:00:00.000,mood,7
2014-05-04 15:00:00.000,mood,7
2014-05-04 18:00:00.000,mood,7
2014-05-04 21:00:00.000,mood,8
2014-05-05 09:00:00.000,mood,6
2014-05-05 13:00:00.000,mood,6
2014-05-05 16:00:00.000,mood,6
2014-05-05 18:00:00.000,mood,8
2014-05-07 10:00:00.000,mood,6
2014-05-07 13:00:00.000,mood,6
2014-05-07 16:00:00.000,mood,6
2014-05-07 19:00:00.000,mood,8
2014-05-07 21:00:00.000,mood,8
2014-05-08 09:00:00.000,mood,6
2014-05-08 13:00:00.000,mood,6
2014-05-08 16:00:00.000,mood,6
2014-05-08 18:00:00.000,mood,7
2014-05-08 21:00:00.000,mood,8
2014-05-09 09:00:00.000,mood,7
2014-05-09 12:00:00.000,mood,6
2014-05-09 15:00:00.000,mood,6
2014-05-09 18:00:00.000,mood,7
2014-05-09 21:00:00.000,mood,8
2014-05-10 09:00:00.000,mood,8
2014-05-10 12:00:00.000,mood,8
2014-05-10 15:00:00.000,mood,8
2014-05-10 18:00:00.000,mood,8
2014-05-10 21:00:00.000,mood,8
2014-05-11 10:00:00.000,mood,6
2014-05-11 12:00:00.000,mood,6
2014-05-11 15:00:00.000,mood,8
2014-05-11 18:00:00.000,mood,5
2014-05-11 21:00:00.000,mood,6
2014-05-12 09:00:00.000,mood,6
2014-05-12 12:00:00.000,mood,6
2014-05-12 15:00:00.000,mood,7
2014-05-12 18:00:00.000,mood,7
2014-05-12 21:00:00.000,mood,6
2014-05-13 09:00:00.000,mood,6
2014-05-13 12:00:00.000,mood,6
2014-05-13 15:00:00.000,mood,7
2014-05-13 18:00:00.000,mood,8
2014-05-13 21:00:00.000,mood,8
2014-05-14 09:00:00.000,mood,6
2014-05-14 12:00:00.000,mood,6
2014-05-14 15:00:00.000,mood,6
2014-05-14 18:00:00.000,mood,6
2014-05-14 21:00:00.000,mood,6
2014-05-15 09:00:00.000,mood,6
2014-05-15 12:00:00.000,mood,6
2014-05-15 16:00:00.000,mood,6
2014-05-15 18:00:00.000,mood,6
2014-05-15 21:00:00.000,mood,8
2014-05-16 09:00:00.000,mood,6
2014-05-16 13:00:00.000,mood,7
2014-05-16 15:00:00.000,mood,8
2014-05-16 18:00:00.000,mood,8
2014-05-16 21:00:00.000,mood,8
2014-05-17 10:00:00.000,mood,6
2014-05-17 12:00:00.000,mood,8
2014-05-17 15:00:00.000,mood,7
2014-05-17 18:00:00.000,mood,8
2014-05-17 21:00:00.000,mood,8
2014-05-18 09:00:00.000,mood,8
2014-05-18 12:00:00.000,mood,6
2014-05-18 16:00:00.000,mood,7
2014-05-18 18:00:00.000,mood,7
2014-05-18 21:00:00.000,mood,8
2014-05-19 10:00:00.000,mood,7
2014-05-19 12:00:00.000,mood,7
2014-05-19 16:00:00.000,mood,8
2014-05-19 18:00:00.000,mood,7
2014-05-19 21:00:00.000,mood,8
2014-05-20 09:00:00.000,mood,7
2014-05-20 12:00:00.000,mood,7
2014-05-20 15:00:00.000,mood,8
2014-05-20 18:00:00.000,mood,8
2014-05-20 21:00:00.000,mood,8
2014-05-21 09:00:00.000,mood,7
2014-05-21 12:00:00.000,mood,8
2014-05-21 15:00:00.000,mood,7
2014-05-21 18:00:00.000,mood,6
2014-05-21 21:00:00.000,mood,7
2014-05-22 09:00:00.000,mood,6
2014-05-22 13:00:00.000,mood,6
2014-05-22 15:00:00.000,mood,6
2014-05-22 18:00:00.000,mood,7
2014-05-22 21:00:00.000,mood,8
2014-05-23 09:00:00.000,mood,6
2014-05-23 13:00:00.000,mood,6
2014-05-23 15:00:00.000,mood,6
2014-05-23 18:00:00.000,mood,5
2014-05-23 21:00:00.000,mood,8
2014-05-24 10:00:00.000,mood,8
2014-05-24 12:00:00.000,mood,7
2014-05-24 14:00:00.000,mood,7
2014-05-24 18:00:00.000,mood,8
2014-05-24 20:00:00.000,mood,8
2014-05-25 10:00:00.000,mood,8
2014-05-25 11:00:00.000,mood,8
2014-05-25 14:00:00.000,mood,8
2014-05-25 21:00:00.000,mood,8
2014-05-26 10:00:00.000,mood,7
2014-05-26 12:00:00.000,mood,7
2014-05-26 15:00:00.000,mood,8
2014-05-26 18:00:00.000,mood,7
2014-05-26 21:00:00.000,mood,7
2014-05-27 09:00:00.000,mood,6
2014-05-27 11:00:00.000,mood,6
2014-05-27 15:00:00.000,mood,6
2014-05-27 18:00:00.000,mood,6
2014-05-27 21:00:00.000,mood,5
2014-05-28 08:00:00.000,mood,6
2014-05-28 11:00:00.000,mood,5
2014-05-28 15:00:00.000,mood,5
2014-05-28 17:00:00.000,mood,5
2014-05-28 21:00:00.000,mood,6
2014-05-29 09:00:00.000,mood,8
2014-05-29 12:00:00.000,mood,8
2014-05-29 15:00:00.000,mood,6
2014-05-29 18:00:00.000,mood,8
2014-05-29 21:00:00.000,mood,7
2014-05-30 09:00:00.000,mood,6
2014-05-30 13:00:00.000,mood,6
2014-05-30 17:00:00.000,mood,6
2014-05-30 18:00:00.000,mood,7
2014-05-30 21:00:00.000,mood,7
2014-03-23 17:00:00.000,circumplex.arousal,1
2014-03-23 21:00:00.000,circumplex.arousal,0
2014-03-24 09:00:00.000,circumplex.arousal,0
2014-03-24 15:00:00.000,circumplex.arousal,0
2014-03-24 17:00:00.000,circumplex.arousal,0
2014-03-24 21:00:00.000,circumplex.arousal,-1
2014-03-25 09:00:00.000,circumplex.arousal,0
2014-03-25 12:00:00.000,circumplex.arousal,0
2014-03-25 16:00:00.000,circumplex.arousal,0
2014-03-25 18:00:00.000,circumplex.arousal,0
2014-03-25 20:00:00.000,circumplex.arousal,-1
2014-03-26 09:00:00.000,circumplex.arousal,1
2014-03-26 11:00:00.000,circumplex.arousal,1
2014-03-26 15:00:00.000,circumplex.arousal,1
2014-03-26 18:00:00.000,circumplex.arousal,0
2014-03-26 21:00:00.000,circumplex.arousal,0
2014-03-27 09:00:00.000,circumplex.arousal,0
2014-03-27 13:00:00.000,circumplex.arousal,0
2014-03-27 16:00:00.000,circumplex.arousal,0
2014-03-27 18:00:00.000,circumplex.arousal,0
2014-03-27 23:00:00.000,circumplex.arousal,-1
2014-03-28 09:00:00.000,circumplex.arousal,1
2014-03-28 11:00:00.000,circumplex.arousal,1
2014-03-28 16:00:00.000,circumplex.arousal,0
2014-03-28 17:00:00.000,circumplex.arousal,0
2014-03-28 21:00:00.000,circumplex.arousal,-1
2014-03-29 09:00:00.000,circumplex.arousal,0
2014-03-29 12:00:00.000,circumplex.arousal,0
2014-03-29 15:00:00.000,circumplex.arousal,-1
2014-03-29 17:00:00.000,circumplex.arousal,-1
2014-03-29 21:00:00.000,circumplex.arousal,1
2014-03-30 10:00:00.000,circumplex.arousal,-1
2014-03-30 11:00:00.000,circumplex.arousal,0
2014-03-30 15:00:00.000,circumplex.arousal,0
2014-03-30 18:00:00.000,circumplex.arousal,1
2014-03-30 21:00:00.000,circumplex.arousal,0
2014-03-31 09:00:00.000,circumplex.arousal,0
2014-03-31 12:00:00.000,circumplex.arousal,1
2014-03-31 15:00:00.000,circumplex.arousal,1
2014-03-31 18:00:00.000,circumplex.arousal,1
2014-03-31 21:00:00.000,circumplex.arousal,0
2014-04-01 09:00:00.000,circumplex.arousal,0
2014-04-01 12:00:00.000,circumplex.arousal,1
2014-04-01 15:00:00.000,circumplex.arousal,0
2014-04-01 19:00:00.000,circumplex.arousal,0
2014-04-01 21:00:00.000,circumplex.arousal,1
2014-04-02 09:00:00.000,circumplex.arousal,0
2014-04-02 13:00:00.000,circumplex.arousal,0
2014-04-02 16:00:00.000,circumplex.arousal,0
2014-04-02 18:00:00.000,circumplex.arousal,0
2014-04-02 21:00:00.000,circumplex.arousal,0
2014-04-03 09:00:00.000,circumplex.arousal,0
2014-04-03 13:00:00.000,circumplex.arousal,0
2014-04-03 15:00:00.000,circumplex.arousal,0
2014-04-03 18:00:00.000,circumplex.arousal,0
2014-04-03 21:00:00.000,circumplex.arousal,-1
2014-04-04 09:00:00.000,circumplex.arousal,0
2014-04-04 14:00:00.000,circumplex.arousal,1
2014-04-04 18:00:00.000,circumplex.arousal,1
2014-04-04 22:00:00.000,circumplex.arousal,1
2014-04-05 09:00:00.000,circumplex.arousal,1
2014-04-05 12:00:00.000,circumplex.arousal,1
2014-04-05 15:00:00.000,circumplex.arousal,1
2014-04-05 17:00:00.000,circumplex.arousal,1
2014-04-05 21:00:00.000,circumplex.arousal,1
2014-04-06 11:00:00.000,circumplex.arousal,0
2014-04-06 13:00:00.000,circumplex.arousal,0
2014-04-06 15:00:00.000,circumplex.arousal,0
2014-04-06 18:00:00.000,circumplex.arousal,0
2014-04-07 08:00:00.000,circumplex.arousal,1
